Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 01/01  01:00:00,48.8888888888889,59.907041623568354,59.907041623568354,59.907041623568354,0.0,0.0 
 01/01  02:00:00,48.8888888888889,59.72170606052092,59.72170606052092,59.72170606052092,0.0,0.0 
 01/01  03:00:00,48.8888888888889,59.5372393390597,59.5372393390597,59.5372393390597,0.0,0.0 
 01/01  04:00:00,48.8888888888889,59.35363725415908,59.35363725415908,59.35363725415908,0.0,0.0 
 01/01  05:00:00,48.8888888888889,59.1708956221011,59.1708956221011,59.1708956221011,0.0,0.0 
 01/01  06:00:00,48.8888888888889,58.98901028078335,58.98901028078335,58.98901028078335,0.0,0.0 
 01/01  07:00:00,48.8888888888889,58.807977089534816,58.807977089534816,58.807977089534816,0.0,0.0 
 01/01  08:00:00,48.8888888888889,58.627791928815235,58.627791928815235,58.627791928815235,0.0,0.0 
 01/01  09:00:00,48.8888888888889,58.4484507003901,58.4484507003901,58.4484507003901,0.0,0.0 
 01/01  10:00:00,48.8888888888889,58.269949403277415,58.269949403277415,58.269949403277415,0.0,0.0 
 01/01  11:00:00,48.8888888888889,58.092284512559615,58.092284512559615,58.092284512559615,0.0,0.0 
 01/01  12:00:00,48.88888888888889,59.66932896026073,61.33018879505099,59.66932896026073,0.0,0.0 
 01/01  13:00:00,48.8888888888889,59.78339289136297,59.78339289136297,59.78339289136297,0.0,0.0 
 01/01  14:00:00,48.8888888888889,59.5986379566105,59.5986379566105,59.5986379566105,0.0,0.0 
 01/01  15:00:00,48.8888888888889,59.414748384069625,59.414748384069625,59.414748384069625,0.0,0.0 
 01/01  16:00:00,48.8888888888889,59.23172036862229,59.23172036862229,59.23172036862229,0.0,0.0 
 01/01  17:00:00,48.8888888888889,59.049550401830786,59.049550401830786,59.049550401830786,0.0,0.0 
 01/01  18:00:00,48.8888888888889,58.86823443497835,58.86823443497835,58.86823443497835,0.0,0.0 
 01/01  19:00:00,48.8888888888889,58.68776785767731,58.68776785767731,58.68776785767731,0.0,0.0 
 01/01  20:00:00,48.8888888888889,58.50814620225001,58.50814620225001,58.50814620225001,0.0,0.0 
 01/01  21:00:00,48.8888888888889,58.32936528830727,58.32936528830727,58.32936528830727,0.0,0.0 
 01/01  22:00:00,48.8888888888889,58.151421522801186,58.151421522801186,58.151421522801186,0.0,0.0 
 01/01  23:00:00,48.8888888888889,59.200428115446066,61.691206514537484,59.200428115446066,0.0,0.0 
 01/01  24:00:00,48.8888888888889,59.860641283164455,59.860641283164455,59.860641283164455,0.0,0.0 
 01/02  01:00:00,48.8888888888889,59.67552325434111,59.67552325434111,59.67552325434111,0.0,0.0 
 01/02  02:00:00,48.8888888888889,59.49127301419184,59.49127301419184,59.49127301419184,0.0,0.0 
 01/02  03:00:00,48.8888888888889,59.30788636290541,59.30788636290541,59.30788636290541,0.0,0.0 
 01/02  04:00:00,48.8888888888889,59.12535912223155,59.12535912223155,59.12535912223155,0.0,0.0 
 01/02  05:00:00,48.8888888888889,58.94368713548676,58.94368713548676,58.94368713548676,0.0,0.0 
 01/02  06:00:00,48.8888888888889,58.76286626730379,58.76286626730379,58.76286626730379,0.0,0.0 
 01/02  07:00:00,48.8888888888889,58.5828924034989,58.5828924034989,58.5828924034989,0.0,0.0 
 01/02  08:00:00,48.8888888888889,58.40376145099026,58.40376145099026,58.40376145099026,0.0,0.0 
 01/02  09:00:00,48.8888888888889,58.2254693376169,58.2254693376169,58.2254693376169,0.0,0.0 
 01/02  10:00:00,48.8888888888889,58.27314166447577,59.51818127768547,58.27314166447577,0.0,0.0 
 01/02  11:00:00,48.8888888888889,59.91384737005792,60.53668422207349,59.91384737005792,0.0,0.0 
 01/02  12:00:00,48.8888888888889,59.74483377063906,59.74483377063906,59.74483377063906,0.0,0.0 
 01/02  13:00:00,48.8888888888889,59.560259512681796,59.560259512681796,59.560259512681796,0.0,0.0 
 01/02  14:00:00,48.8888888888889,59.37655040338475,59.37655040338475,59.37655040338475,0.0,0.0 
 01/02  15:00:00,48.8888888888889,59.193701880930206,59.193701880930206,59.193701880930206,0.0,0.0 
 01/02  16:00:00,48.8888888888889,59.01170968091626,59.01170968091626,59.01170968091626,0.0,0.0 
 01/02  17:00:00,48.8888888888889,58.830570147640664,58.830570147640664,58.830570147640664,0.0,0.0 
 01/02  18:00:00,48.8888888888889,58.65027915898003,58.65027915898003,58.65027915898003,0.0,0.0 
